CityState,city,state,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,lat,lng
"PEORIA, AZ",PEORIA,AZ,169359,145333,5739,1212,6311,33362,937,24105,4289,10483,20654,8802,1682,1176,15162,85307,5839,2614,1184,39.025,37.45,40.45,71881.75,30975.0,1239.5,208800.0,33.6610275,-112.2444192
"ALLENTOWN, PA",ALLENTOWN,PA,169088,115481,18123,466,4923,59513,1667,32155,5058,9256,15767,6639,1837,1184,32688,84002,9624,2289,958,44.47142857,37.91428571,46.1,45806.66667,24425.85714,935.1666667,150333.3333,40.59755412,-75.5135835
"CAPE CORAL, FL",CAPE CORAL,FL,167934,152226,7097,615,2769,30812,1940,38869,5439,11260,16972,6867,1261,1047,23590,79572,8852,1094,535,43.68333333,42.75,44.35,50729.5,23755.33333,1065.5,157016.6667,26.62830883,-81.9859195
"HARRISBURG, PA",HARRISBURG,PA,167562,101621,45559,442,6758,17043,1284,33079,4649,9547,21155,8340,2224,1008,25048,88447,7286,3370,1247,37.3,35.9,38.57777778,46928.55556,26059.44444,843.3333333,136111.1111,40.2797364,-76.8513594
"LANCASTER, PA",LANCASTER,PA,167369,126542,15591,398,5417,35031,2027,32028,5386,7128,20483,9207,2372,1378,25163,85897,7027,2228,748,50.0,49.4,51.15,45597.75,25914.25,930.3333333,177133.3333,40.05784325,-76.298901
"MACON, GA",MACON,GA,166004,75217,84474,153,2842,5027,1294,30106,5290,6237,14899,6427,2090,1268,42877,73122,8712,1597,417,34.61111111,33.11111111,36.07777778,39029.875,19702.33333,716.125,114187.5,32.8378798,-83.658123
"FREDERICKSBURG, VA",FREDERICKSBURG,VA,165904,117875,29247,719,5018,15634,638,26690,3857,7377,20970,11516,1273,1146,14091,87394,5242,5533,1898,35.02,34.26,35.62,78145.2,32896.2,1278.0,283680.0,38.3032776,-77.4914466
"MCKINNEY, TX",MCKINNEY,TX,164855,132696,17235,694,7642,29721,980,15101,2514,9131,32518,12132,1866,1182,11825,83493,3222,5217,1467,34.93333333,33.4,36.46666667,76818.0,33751.33333,1162.0,207733.3333,33.199239,-96.637576
"BOYNTON BEACH, FL",BOYNTON BEACH,FL,164373,124446,30490,171,3452,20557,1216,29757,3405,11070,27248,11848,3226,1509,19675,74080,7243,1645,649,48.53333333,46.58333333,50.01666667,66185.83333,34767.83333,1587.833333,223383.3333,26.5227955,-80.12965367
"CLARKSVILLE, TN",CLARKSVILLE,TN,164269,114240,34761,1043,3743,15078,898,24836,5318,9211,16741,5985,1081,926,26874,82425,7204,1762,532,31.3,30.5,32.3,50590.66667,23316.0,847.0,148233.3333,36.52704833,-87.32949633
"TOPEKA, KS",TOPEKA,KS,163994,133944,13898,1338,1991,20067,1046,27132,6294,7251,20399,7835,2150,1268,25925,82701,5759,2760,977,37.42222222,36.65,37.65294118,49574.0625,23491.94118,745.5,107353.3333,39.03986367,-95.71088311
"NAPERVILLE, IL",NAPERVILLE,IL,163550,120647,7560,165,29014,10333,402,11344,1013,6747,38256,23349,4200,3454,7732,87856,5526,7067,2412,38.925,37.85,39.925,110980.25,46684.25,1388.5,369475.0,41.7479045,-88.16724675
"KALAMAZOO, MI",KALAMAZOO,MI,163016,123886,25118,458,4443,8716,719,18164,3276,8832,19215,9773,1858,2430,36400,86886,9114,3099,1134,32.12857143,31.02857143,33.17142857,41244.28571,22666.57143,727.5714286,113242.8571,42.29339129,-85.59254914
"LANSING, MI",LANSING,MI,162561,106769,30871,812,6892,17693,1495,21373,5034,10562,19069,7349,1694,1434,38739,85173,8858,3352,1364,33.4,32.14285714,35.15714286,37027.42857,21889.71429,739.7142857,94142.85714,42.72689062,-84.56635362
"SCHENECTADY, NY",SCHENECTADY,NY,162246,127729,16263,359,7210,9894,1355,27547,5080,13044,19245,12381,2041,2111,19024,84384,6009,3743,1260,38.25,36.925,39.15,52152.25,26694.875,852.75,151587.5,42.8045575,-73.93726787
"ANN ARBOR, MI",ANN ARBOR,MI,161050,117743,11309,513,24294,6985,401,7239,1185,4682,27382,23039,6878,9380,28712,86785,5212,8565,3591,29.48,28.52,30.54,61928.0,38388.4,1049.0,256350.0,42.2726698,-83.7398134
"HYATTSVILLE, MD",HYATTSVILLE,MD,160877,32210,78345,663,4587,60321,3384,24884,2932,5834,14069,7467,1274,1460,19479,94280,7740,2735,1210,33.46,32.8,34.1,62393.4,27256.4,1238.2,231960.0,38.9569036,-76.9306408
"YOUNGSTOWN, OH",YOUNGSTOWN,OH,160114,116837,35197,480,1537,9786,1131,36479,4339,7757,16316,6289,1569,830,32028,76214,7682,1553,439,40.09166667,37.40833333,43.8,29948.0,17612.66667,592.75,63245.45455,41.08592625,-80.6624315
"SUGAR LAND, TX",SUGAR LAND,TX,159463,76320,16121,187,57719,22818,1964,12168,2040,6091,32442,15103,3157,3274,9989,81671,3343,7380,2110,39.86666667,38.63333333,40.83333333,98329.33333,41199.33333,1433.333333,239466.6667,29.61029967,-95.63165467
"FAIRFAX, VA",FAIRFAX,VA,158409,100731,11997,390,34496,17337,1032,11673,1110,6129,35254,24529,4331,3630,9900,92708,4532,10070,3863,36.775,35.975,37.825,114291.75,48296.5,1902.5,500675.0,38.84902,-77.3265314
"FLINT, MI",FLINT,MI,158300,79866,69180,1069,1014,5519,1304,30781,5367,8469,8299,3356,667,456,52793,64269,12766,946,385,35.8,34.2,37.24285714,30169.71429,16097.14286,674.1428571,49483.33333,43.0118825,-83.7194907
"EDMOND, OK",EDMOND,OK,158152,129085,9152,3434,6035,7604,323,13826,2164,5905,32814,13549,4170,2534,11185,82353,2468,4631,1056,35.18,34.52,35.96,85997.0,40825.2,1106.75,216780.0,35.6784596,-97.5173548
"LAFAYETTE, LA",LAFAYETTE,LA,158099,103693,46392,357,3203,7907,1098,22307,3636,5077,23410,6889,2421,1425,27717,85608,5066,3293,732,33.36,31.9,35.16,50428.6,29565.0,801.0,166540.0,30.2083448,-92.036678
"POMONA, CA",POMONA,CA,157569,97965,10244,1453,14508,109877,4540,20858,2154,5637,11321,3255,729,506,33811,72954,8821,1500,440,30.43333333,29.66666667,31.23333333,48435.0,17046.66667,1136.333333,279366.6667,34.06296267,-117.761494
"NORTH HOLLYWOOD, CA",NORTH HOLLYWOOD,CA,157496,99132,9193,914,11454,77357,3090,21221,1905,7189,23985,5841,1334,879,33703,91348,10270,1999,703,35.325,34.775,35.95,49542.75,28712.0,1243.5,467875.0,34.1782815,-118.3824883
"ROUND ROCK, TX",ROUND ROCK,TX,156205,120193,15085,743,10122,43088,1390,14709,3142,8007,26633,9222,1496,1093,13624,83380,4832,7063,1604,33.3,32.66666667,33.9,81512.0,31436.66667,1129.333333,196433.3333,30.52659,-97.67286467
"PASADENA, CA",PASADENA,CA,156109,91732,15618,435,25716,50616,2152,14832,976,7950,30159,15230,6184,5285,22765,87959,7071,4811,2241,39.11666667,37.95,40.58333333,76752.5,47014.5,1447.5,627316.6667,34.15266,-118.1349387
"PUEBLO, CO",PUEBLO,CO,154730,121235,3600,4348,1128,67195,1048,24748,5322,11787,14040,6265,994,737,29846,70473,7730,1550,410,38.98571429,37.42857143,40.7,43756.14286,22355.0,812.2857143,131814.2857,38.26497771,-104.6545449
"KENT, WA",KENT,WA,154382,94547,14407,1518,23243,23089,1683,22480,4070,10734,18051,5519,1105,523,21016,81466,6258,3904,989,34.95,34.225,35.525,64862.25,27826.0,1159.25,254150.0,47.383093,-122.192011
"KANSAS CITY, KS",KANSAS CITY,KS,153275,92767,38294,1038,5515,43106,2352,26304,4857,6853,10172,3698,651,528,37179,75559,8568,1593,633,33.64444444,32.71111111,34.73333333,39821.66667,18271.55556,808.7777778,84611.11111,39.11009518,-94.68976509
"ODESSA, TX",ODESSA,TX,151985,129732,6290,734,1458,85731,1997,19387,6102,5231,9835,3018,718,281,19502,75284,3968,1427,167,30.26666667,29.61666667,30.9,63400.16667,27504.0,919.8333333,110383.3333,31.847583,-102.3993887
"ALBANY, NY",ALBANY,NY,151118,98763,32842,286,10271,11373,1191,22350,3530,9521,19271,11694,2449,2305,27187,80126,5609,3820,1652,35.52727273,34.77272727,35.91818182,47335.2,26235.36364,905.0,175422.2222,42.67267382,-73.78563027
"WACO, TX",WACO,TX,151037,107602,29047,577,2264,47915,1739,19501,5160,7676,9221,3461,629,900,42053,68824,5380,996,300,29.33333333,28.36666667,30.27777778,31581.5,15736.88889,749.875,84342.85714,31.55624156,-97.14330467
"RENTON, WA",RENTON,WA,150646,86690,12766,631,31983,15796,1449,19414,3123,10019,27258,9070,1662,1457,14203,85237,5132,6020,1814,36.74,36.06,37.94,70778.6,34773.4,1224.4,309620.0,47.474739,-122.1695598
"ASTORIA, NY",ASTORIA,NY,150508,98960,8850,437,22689,39848,2772,20854,2387,7055,34329,13510,2567,1434,24747,94197,7833,3079,1407,34.55,34.1,35.075,56530.25,32564.25,1468.25,592800.0,40.7691365,-73.91950975
"DENTON, TX",DENTON,TX,149769,119695,14735,536,5403,32727,1015,13842,3906,6440,19522,8903,1145,2033,25829,82958,7365,2490,895,31.63333333,31.28333333,31.63333333,54410.0,25047.66667,954.5,158900.0,33.20518417,-97.11973717
"SUNNYVALE, CA",SUNNYVALE,CA,149099,70487,3040,342,62709,27066,1415,10704,1465,6463,31580,24796,2404,5226,11171,83075,5697,18749,5736,35.45,35.275,35.575,104417.5,47425.5,1858.0,630325.0,37.3810335,-122.0233575
"CANTON, OH",CANTON,OH,148790,119493,20063,218,1498,3494,1059,32767,3724,8634,14007,5133,1247,631,29947,75209,7888,1647,631,40.725,39.46666667,42.35,37240.83333,21927.41667,609.3333333,102545.4545,40.81553583,-81.38223567
"TYLER, TX",TYLER,TX,148786,106048,33191,405,2776,35738,2064,19298,3903,8354,14792,5318,1569,1004,29176,71287,5110,1566,489,36.35555556,35.64444444,37.02222222,42246.22222,22872.33333,828.4444444,103977.7778,32.354355,-95.28424056
"LAS CRUCES, NM",LAS CRUCES,NM,147603,129689,3176,2037,2236,84875,1236,14693,3544,7187,17173,9200,1629,2114,34601,70862,7918,3120,1238,32.57142857,32.48571429,32.86666667,44779.0,17559.14286,781.6,159820.0,32.34272657,-106.808475
"PASADENA, TX",PASADENA,TX,147442,119862,3816,2187,2320,100411,2411,22418,4611,5033,7013,1864,373,573,30512,70367,7615,1427,364,31.1,29.66,32.6,47294.6,20014.4,806.2,107700.0,29.66917167,-95.15865917
"BRIDGEPORT, CT",BRIDGEPORT,CT,147340,59516,52747,765,5017,57921,2112,26530,3738,5485,9834,4656,849,636,32706,79862,12803,1506,497,32.2,30.81666667,33.6,38621.66667,19198.0,1104.666667,167066.6667,41.1871885,-73.19103567
"MIDLAND, TX",MIDLAND,TX,147252,120996,9565,629,2233,61047,1733,16844,4881,6506,16543,4728,1233,524,12809,77337,2638,3247,652,32.14,31.22,33.48,67592.8,33814.0,1037.6,155940.0,31.9831388,-102.0954528
"EDINBURG, TX",EDINBURG,TX,147170,130983,2034,652,2395,133083,2829,13985,3759,3310,11617,3395,627,557,45736,61847,5504,827,211,28.3,27.5,29.23333333,40181.66667,15808.33333,651.3333333,89733.33333,26.39417333,-98.18405433
"VISALIA, CA",VISALIA,CA,147134,117929,3377,1816,7136,71763,3022,18886,2895,7718,12695,4243,1787,498,32051,65712,6306,1196,534,32.73333333,31.5,34.3,50170.0,22125.66667,933.6666667,187566.6667,36.35623367,-119.319039
"PATERSON, NJ",PATERSON,NJ,146987,54357,44975,274,5610,87128,2759,33617,2942,4167,6472,2107,506,123,42288,63002,6363,625,397,33.41111111,33.08888889,34.06666667,36672.44444,17080.77778,1109.888889,259977.7778,40.91631533,-74.16232478
"HUMBLE, TX",HUMBLE,TX,146670,82219,40356,487,3956,48848,1261,17703,3468,6938,18040,5657,1377,550,15922,76307,5195,2373,852,31.83333333,30.73333333,32.56666667,65576.66667,27943.33333,1091.0,128933.3333,29.98566833,-95.24116467
"COLUMBIA, MO",COLUMBIA,MO,146510,116562,14311,351,6818,5310,500,11913,3042,4860,23641,11354,3297,4175,29561,82523,4161,3795,1522,26.925,26.575,27.25,45988.33333,20099.25,801.6666667,170500.0,38.93970275,-92.31359375
"MANASSAS, VA",MANASSAS,VA,146218,102835,19113,474,9903,43088,2429,20079,2836,6531,18118,9802,1133,936,12972,81997,4566,5175,1481,34.925,34.525,35.375,88913.75,33665.5,1594.5,308150.0,38.738588,-77.46818975
"MELBOURNE, FL",MELBOURNE,FL,146206,124833,10578,122,5325,13538,867,25525,4478,11460,18759,10508,1788,1342,17103,68242,6869,4306,1149,47.26,44.06,49.42,51986.4,28110.4,997.2,154240.0,28.1251684,-80.6894018
"SOUTH BEND, IN",SOUTH BEND,IN,145681,103267,30058,562,2051,16776,959,25069,5076,6980,14340,6737,1425,1700,31523,72241,6978,1939,640,36.02,34.35,37.93,39914.5,21831.9,732.3,94930.0,41.6817585,-86.2628103
"MESQUITE, TX",MESQUITE,TX,145105,96237,34018,916,4489,53051,1380,21661,4268,6579,10536,3939,694,144,22731,75464,5316,1779,445,31.96666667,29.56666667,34.13333333,54367.66667,21725.66667,1139.666667,113800.0,32.77155367,-96.601677
"CARY, NC",CARY,NC,145036,103089,12193,761,21701,11158,601,10468,1296,7799,35384,18591,2837,4714,9266,80029,3764,9899,3493,38.575,37.775,39.7,93609.5,42782.25,1040.5,303525.0,35.77630825,-78.81194475
"ORANGE, CA",ORANGE,CA,144976,97594,1995,586,17026,56725,1632,16369,1725,7300,20751,7684,2091,1148,18899,76566,6166,2948,1130,35.06,34.02,36.16,76385.0,30255.4,1550.4,513260.0,33.8017166,-117.841628
"SPRINGFIELD, MA",SPRINGFIELD,MA,144780,79365,30997,777,2991,61579,2325,21906,5411,6863,9378,4680,723,531,41657,64839,8579,970,273,34.86,33.13,36.22,38953.6,20851.7,840.1111111,143120.0,42.11002,-72.55216809
"CYPRESS, TX",CYPRESS,TX,144028,109788,15530,407,11706,31866,907,13958,2226,5661,27920,9669,1886,1197,7054,72624,3072,5271,882,33.15,32.5,33.8,98246.5,38004.0,1316.5,194900.0,29.966396,-95.707469
"BEAUMONT, TX",BEAUMONT,TX,143788,70598,63097,523,3704,20992,1225,24490,6017,6072,13518,4315,977,738,26481,62237,5264,1728,562,35.1,34.1625,36.2125,41711.25,23967.875,774.375,96712.5,30.072015,-94.15981338
"YUMA, AZ",YUMA,AZ,143612,104137,3597,1240,2343,73332,1946,20176,4465,7306,9645,4064,1035,397,24977,62638,7072,1280,217,43.03333333,41.16666667,44.9,45735.66667,24116.66667,1043.666667,115433.3333,32.82347133,-114.3929563
"KILLEEN, TX",KILLEEN,TX,142705,68291,46800,1811,5415,34060,857,17888,4484,9760,11210,3719,684,314,21402,72217,7404,1407,624,29.25,28.5,30.1,44756.75,20138.0,869.75,106000.0,31.07274625,-97.7344425
"CONROE, TX",CONROE,TX,142634,125430,7176,635,2557,43482,1410,20758,4572,5680,14268,4886,1232,892,22453,69609,3731,2247,849,35.72857143,34.9,36.31428571,57428.0,27290.28571,943.5714286,142357.1429,30.27730371,-95.41276314
"CUMMING, GA",CUMMING,GA,142517,124175,3649,381,8829,13691,806,16432,2425,6905,27605,9399,1603,880,9949,71560,4547,4986,1253,37.7,37.16666667,38.4,84772.0,33118.33333,1139.0,248300.0,34.23600833,-84.15477267
"SPRINGFIELD, IL",SPRINGFIELD,IL,142162,109673,24152,201,3029,3322,670,22346,4473,7291,20018,9024,2802,1047,26299,73709,6299,2921,1002,40.62857143,38.78571429,42.7,57809.57143,33386.57143,751.4285714,144900.0,39.79071643,-89.651988
"FRISCO, TX",FRISCO,TX,142127,102404,10342,642,19336,19290,649,9038,1186,5945,34499,13123,2097,1197,5249,75430,3148,6253,2116,35.15,34.4,35.7,112684.0,43214.5,1354.0,274150.0,33.154884,-96.8230075
"GAITHERSBURG, MD",GAITHERSBURG,MD,141578,77884,22130,540,25471,28660,1380,12418,1373,5593,26445,16561,3738,4851,9812,80138,4650,7436,3601,40.64,37.48,43.02,86764.0,39857.8,1438.6,430000.0,39.1606888,-77.1973982
"METAIRIE, LA",METAIRIE,LA,141472,116361,13623,412,5459,21016,1149,23143,3385,5689,22525,7429,3456,1612,19516,78370,4660,2597,877,40.78,39.18,42.88,54365.2,33903.4,881.4,231160.0,30.002113,-90.1729714
"NEWARK, DE",NEWARK,DE,140544,96374,26624,197,10539,12210,894,19201,2426,6896,20736,10669,1701,2569,16123,77061,5258,5355,1848,28.92,28.28,29.72,65308.33333,20531.8,1071.0,238566.6667,39.6741212,-75.7387518
"BELLEVUE, WA",BELLEVUE,WA,138859,82627,3190,454,42589,9558,823,9508,1348,6927,37061,19082,4308,3480,10764,76016,4828,13096,2952,38.74,37.28,40.26,94135.2,53275.4,1522.4,574280.0,47.6020238,-122.1537254
"ROCKVILLE, MD",ROCKVILLE,MD,138412,84827,14217,337,25956,22119,1115,11045,1149,4607,26721,19754,6788,8430,8952,80461,4469,8616,4578,38.6,37.225,39.975,96825.75,46056.25,1639.0,457625.0,39.081031,-77.13016125
"FULLERTON, CA",FULLERTON,CA,138253,76558,3295,362,34408,48883,1756,15234,1416,6872,21744,8628,2328,1838,22804,72098,6633,3334,886,35.65,35.575,35.9,70028.5,31901.75,1363.75,525075.0,33.882408,-117.9259465
"MCALLEN, TX",MCALLEN,TX,138020,118751,1226,668,3742,116318,2518,13158,3340,5525,16680,4475,1737,577,35836,62511,5160,1016,366,32.6,31.56666667,33.7,43785.66667,21888.33333,738.3333333,107266.6667,26.21670433,-98.24162133
"SAN MATEO, CA",SAN MATEO,CA,137929,80478,2986,337,37495,28678,1630,12787,1280,7383,29443,14563,4041,3179,9255,77727,5119,6930,2600,40.0,38.775,41.05,104018.25,51234.5,1909.0,841900.0,37.5487495,-122.3087373
"HAMPTON, VA",HAMPTON,VA,137563,59853,67585,586,3173,7468,598,19648,4621,8609,13146,6095,736,642,20020,71507,6494,2652,1010,35.1,33.43333333,36.51666667,49075.16667,23780.83333,1104.833333,181420.0,37.051933,-76.35104383
"SANTA MARIA, CA",SANTA MARIA,CA,137512,102287,2046,1211,6546,83374,3469,14097,2092,6363,9270,3211,1087,413,23925,65869,5359,1814,453,33.26666667,31.96666667,34.8,56157.0,22521.33333,1284.333333,279266.6667,34.904715,-120.394351
"OLATHE, KS",OLATHE,KS,137447,118063,6518,402,6151,14505,690,13104,2055,7158,26981,10265,1562,1033,9088,77384,3895,5105,1201,34.45,33.7,35.45,77389.5,33430.0,887.5,198600.0,38.8646275,-94.829333
"SAINT CHARLES, MO",SAINT CHARLES,MO,137309,121497,7378,327,3557,4896,461,19872,3260,8146,22264,10485,1154,897,10169,77655,4369,4812,1332,38.23333333,36.56666667,40.4,69495.0,33191.0,983.3333333,187266.6667,38.76714167,-90.558194
"SANTA BARBARA, CA",SANTA BARBARA,CA,137210,107137,1860,779,5839,45557,1419,10904,1431,6789,26087,11111,4236,3615,15385,75362,4666,3702,1216,41.8,40.02857143,43.55714286,87367.85714,48142.71429,1791.0,957442.8571,34.44868743,-119.7273123
"COMPTON, CA",COMPTON,CA,136826,52473,39050,563,1239,92882,4417,18785,1198,4087,3916,1122,142,70,35394,61220,9425,417,91,28.96666667,27.86666667,30.2,42574.33333,13807.66667,1082.0,240033.3333,33.89312667,-118.225714
"CEDAR RAPIDS, IA",CEDAR RAPIDS,IA,136391,118975,7887,428,2991,4764,496,20687,3876,10267,18738,6467,1540,945,15771,76410,4035,4508,1090,37.7,37.1,39.2,60111.33333,32466.66667,709.0,154200.0,41.9874765,-91.67654983
"PEORIA, IL",PEORIA,IL,136345,91561,32043,427,4951,6846,601,21296,4192,8131,15494,6986,1713,945,27963,67532,6652,3281,782,33.62222222,32.45555556,35.64444444,41876.375,22328.88889,680.75,125150.0,40.69903711,-89.63027411
"INGLEWOOD, CA",INGLEWOOD,CA,135769,42213,48673,785,1816,79155,2666,16640,1386,5772,9464,3356,693,427,32589,69456,9434,776,245,33.76,32.46,35.02,44113.2,19746.2,1100.8,328560.0,33.95368,-118.3468196
"PUYALLUP, WA",PUYALLUP,WA,135145,107892,5250,1417,6292,12633,542,22572,4394,10507,14490,5298,1053,690,13266,69906,5729,2269,661,36.88,35.56,37.92,67783.6,30338.2,1158.0,241920.0,47.157159,-122.3022188
"HAMILTON, OH",HAMILTON,OH,134998,118683,9807,467,1787,6213,635,29143,4413,6526,13503,5157,609,727,18878,68008,4731,2710,590,37.23333333,36.26666667,38.03333333,52025.0,24419.66667,766.0,132233.3333,39.40566567,-84.57235833
"WARREN, MI",WARREN,MI,134857,99721,21527,647,8377,2608,1966,28859,3522,8578,11213,3864,652,333,26299,65704,7770,2015,629,40.26,38.82,41.34,44703.2,22742.2,835.8,86060.0,42.49606817,-83.025215
"BILLINGS, MT",BILLINGS,MT,134577,120861,999,6508,1097,7335,460,22752,4468,6847,18836,5221,1827,979,15309,72238,2933,1993,619,37.675,37.1,38.45,58092.0,31658.25,840.75,216850.0,45.77359925,-108.5434645
"VICTORVILLE, CA",VICTORVILLE,CA,134326,85946,20581,1180,5702,68350,1948,18948,3503,7492,5173,2805,507,364,31832,51838,7745,759,141,30.0,29.53333333,30.86666667,47747.33333,16223.66667,1141.0,146933.3333,34.51261,-117.351288
"SAGINAW, MI",SAGINAW,MI,133071,87474,34991,427,2024,13208,1121,24997,3902,7582,11528,4463,1209,543,29512,60850,7924,1375,621,40.08571429,38.5,41.5,39158.85714,21967.71429,675.2857143,81057.14286,43.432211,-83.98603786
"ROSEVILLE, CA",ROSEVILLE,CA,131412,103157,2485,508,12665,19530,441,14269,1772,10040,22224,6827,2226,1219,11358,66619,4889,3569,1069,38.66666667,37.5,39.63333333,76197.0,35373.66667,1318.333333,326466.6667,38.76240467,-121.3027903
"STERLING HEIGHTS, MI",STERLING HEIGHTS,MI,131091,110497,7215,49,9852,2779,2456,24056,2262,8497,15710,7833,925,406,16781,68262,5519,4117,1063,41.425,39.45,43.025,59648.0,28540.25,906.0,153325.0,42.583597,-83.03342875
"BLOOMINGTON, IN",BLOOMINGTON,IN,130817,112800,4066,534,8715,4237,399,12342,2336,4560,16535,11562,1713,3769,30843,68663,4877,3031,805,25.88333333,25.43333333,26.4,39554.0,17150.0,834.25,167000.0,39.16381283,-86.5246145
"NEW HAVEN, CT",NEW HAVEN,CT,130389,57610,42710,378,6796,36740,1409,21173,3133,3458,12214,8011,2981,3900,32270,67348,8496,2268,1310,30.14,28.6,31.54,38877.2,25466.6,1125.8,219360.0,41.3124416,-72.9253966
"MYRTLE BEACH, SC",MYRTLE BEACH,SC,129852,107322,11508,457,2145,11418,939,24269,3061,9245,16457,5592,1196,794,21668,66161,6053,893,166,44.66,43.84,45.54,43947.0,28308.4,865.6,188580.0,33.704954,-78.9198756
"JOLIET, IL",JOLIET,IL,129203,82592,23929,499,2245,41099,1342,24035,3890,5863,9737,3823,596,393,18931,66254,6962,1295,219,33.24,32.54,34.44,52520.0,21444.2,1001.2,129920.0,41.517279,-88.1033686
"SIMI VALLEY, CA",SIMI VALLEY,CA,129176,101831,1676,773,11594,31996,920,16390,2269,9313,18939,6645,1888,800,7977,71125,5291,3658,1140,39.7,38.55,40.8,89046.5,37210.5,1699.5,451650.0,34.283567,-118.7311245
"ABILENE, TX",ABILENE,TX,128473,100792,12378,875,2289,32197,1443,16795,6822,5397,12232,4238,922,756,21189,60631,3397,1082,333,30.16666667,29.78333333,30.41666667,45575.8,19609.16667,756.0,106100.0,32.41755567,-99.762595
"CONCORD, CA",CONCORD,CA,127844,88564,5223,641,14076,38722,1111,18224,2455,7983,19549,5628,1483,791,16914,68002,6387,3254,711,38.525,38.25,38.925,69550.75,31729.5,1367.75,378150.0,37.9725275,-122.0079653
"YAKIMA, WA",YAKIMA,WA,127762,98130,1383,1938,1364,49766,2081,16931,5010,6890,8678,3812,1344,498,25215,59876,5636,867,296,35.675,35.175,36.2,44844.0,21816.75,780.75,157050.0,46.61953975,-120.67183
"CARROLLTON, TX",CARROLLTON,TX,127662,88797,10584,563,18314,41457,1783,15519,1869,6195,22363,7129,1305,550,12234,74509,3616,3828,1315,35.96666667,34.16666667,37.63333333,70752.33333,33192.33333,1051.666667,181600.0,33.00585567,-96.88995567
"BOULDER, CO",BOULDER,CO,127581,114426,1143,266,5640,10656,385,4858,1007,3173,26818,17578,3862,6381,23578,75330,4617,7128,2874,31.08333333,29.83333333,32.51666667,58588.0,36778.83333,1248.833333,526460.0,40.014843,-105.2643495
"ARVADA, CO",ARVADA,CO,127226,115259,1395,1450,2703,21261,565,18532,3605,8170,20457,8410,1562,865,10895,72160,4321,3909,1128,41.1,39.7,42.3,77968.2,37822.8,1359.6,288880.0,39.8303132,-105.1233188
"MUSKEGON, MI",MUSKEGON,MI,127142,96618,22978,814,733,6717,961,23385,6359,8489,10128,3729,627,341,25768,58007,7796,1445,434,39.66,38.54,40.7,37337.0,20782.4,648.6,90400.0,43.2266966,-86.2328236
"SANTA FE, NM",SANTA FE,NM,126839,105763,1112,4410,1686,65803,808,15678,3233,5182,19295,12328,3609,3396,19462,66411,5173,3282,1033,47.22,45.58,48.8,58463.8,38445.6,996.2,328180.0,35.6594218,-105.9593096
"LAKE CHARLES, LA",LAKE CHARLES,LA,126728,77699,42208,524,2364,3908,1071,21994,3934,6093,13365,4140,1294,540,22227,63171,5486,1485,475,35.68,34.44,37.16,45086.0,25025.0,788.4,127220.0,30.199605,-93.2018404
"STAMFORD, CT",STAMFORD,CT,126376,76830,18492,125,11177,32726,818,17152,1302,4762,23170,13194,3129,1809,11819,74641,6670,3172,1313,37.56666667,36.45,39.06666667,96084.5,51705.0,1929.833333,478883.3333,41.08486517,-73.539917
"RACINE, WI",RACINE,WI,126353,93162,20029,758,1905,20491,1072,19769,4281,7404,13242,5615,936,745,19394,63220,6111,2009,754,37.48,36.18,38.86,48482.8,25324.2,759.0,136500.0,42.739117,-87.8276846
"SURPRISE, AZ",SURPRISE,AZ,126349,109200,7540,668,2044,24119,578,19750,3033,8520,15038,5978,1261,820,12484,54199,4598,1648,590,44.425,43.675,44.825,63352.0,26699.0,1190.5,199325.0,33.6389765,-112.4076175
"PEARLAND, TX",PEARLAND,TX,125979,79084,21467,359,16558,27043,684,12184,2122,6278,22782,9404,3171,1950,7935,67381,3017,5584,1311,35.3,34.75,36.05,91039.0,38801.0,1147.0,188450.0,29.5532975,-95.315184
"ASHEVILLE, NC",ASHEVILLE,NC,125161,105102,12989,668,1760,8963,1060,15458,3340,7041,23170,10292,2608,1459,20927,64961,4855,1976,618,40.48,38.8,42.44,43113.8,28912.8,838.4,224440.0,35.5960444,-82.5485308
"FREDERICK, MD",FREDERICK,MD,124766,88814,18461,475,8194,15486,975,16138,1617,6486,20573,10575,1558,2166,10599,69984,4129,5169,1897,37.025,35.95,37.625,83883.5,37013.75,1353.75,293450.0,39.410693,-77.4070626
"HEMET, CA",HEMET,CA,124496,92175,7853,1791,3462,47146,1948,22430,3729,5575,6233,2870,523,254,30506,48151,8924,506,182,38.63333333,37.2,39.9,37134.33333,18261.33333,993.0,128466.6667,33.68177433,-116.9642913
"HARTFORD, CT",HARTFORD,CT,124441,45485,47860,495,3226,55011,2369,18624,4013,4306,6779,3325,1283,417,39568,60488,11692,950,356,30.75,29.56666667,31.41666667,38559.66667,24782.16667,989.3333333,172533.3333,41.76879429,-72.685318
"INDEPENDENCE, MO",INDEPENDENCE,MO,123974,103824,8846,564,1158,12012,837,28605,4617,6155,9984,3681,614,352,21826,60402,4860,1367,772,37.775,36.925,38.7,43826.0,21813.25,788.25,97250.0,39.10236425,-94.3894665
